ДЕТАЛЬНАЯ СТАТИСТИКА ДЕТЕКЦИИ ПЛАМЕНИ
============================================================

ПАРАМЕТРЫ ДЕТЕКЦИИ:
------------------------------------------------------------
  buffer_size: 15
  brightness_thresh: 215
  saturation_thresh: 115
  flicker_weight: 0.25
  min_flicker_frames: 5
  use_color_filter: True
  confidence_threshold: 15.0
  flame_percent_threshold: 0.15
  negative_keep_ratio: 0.05

РЕЗУЛЬТАТЫ ПО КАДРАМ:
------------------------------------------------------------
Frame | Flame% | Confidence% | Status | Filename
  278 |   5.44 |        66.6 | flame    FLAME | frame_000527.jpg
  279 |   5.81 |        66.6 | flame    FLAME | frame_000528.jpg
  280 |   6.44 |        66.6 | flame    FLAME | frame_000529.jpg
  281 |   5.94 |        66.3 | flame    FLAME | frame_000530.jpg
  282 |   7.33 |        66.3 | flame    FLAME | frame_000531.jpg
  283 |   6.53 |        66.4 | flame    FLAME | frame_000532.jpg
  284 |   6.20 |        66.2 | flame    FLAME | frame_000533.jpg
  285 |   5.77 |        66.2 | flame    FLAME | frame_000534.jpg
  286 |   6.32 |        66.4 | flame    FLAME | frame_000535.jpg
  287 |   6.84 |        66.3 | flame    FLAME | frame_000536.jpg
  288 |   6.97 |        65.8 | flame    FLAME | frame_000537.jpg
  289 |   7.47 |        66.0 | flame    FLAME | frame_000538.jpg
  290 |   7.84 |        66.2 | flame    FLAME | frame_000539.jpg
  291 |   6.74 |        65.9 | flame    FLAME | frame_000540.jpg
  292 |   7.36 |        66.6 | flame    FLAME | frame_000541.jpg
  293 |   7.88 |        66.4 | flame    FLAME | frame_000542.jpg
  294 |   6.42 |        66.3 | flame    FLAME | frame_000543.jpg
  295 |   6.73 |        66.1 | flame    FLAME | frame_000544.jpg
  296 |   5.71 |        65.9 | flame    FLAME | frame_000545.jpg
  297 |   6.59 |        65.9 | flame    FLAME | frame_000546.jpg
  298 |   5.99 |        65.8 | flame    FLAME | frame_000547.jpg
  299 |   5.62 |        66.2 | flame    FLAME | frame_000548.jpg
  300 |   6.69 |        66.4 | flame    FLAME | frame_000549.jpg
  301 |   6.35 |        66.3 | flame    FLAME | frame_000550.jpg
  302 |   6.35 |        66.3 | flame    FLAME | frame_000551.jpg
  303 |   5.88 |        66.7 | flame    FLAME | frame_000552.jpg
  304 |   6.48 |        66.1 | flame    FLAME | frame_000553.jpg
  305 |   6.08 |        66.1 | flame    FLAME | frame_000554.jpg
  306 |   6.24 |        66.4 | flame    FLAME | frame_000555.jpg
  307 |   6.39 |        65.9 | flame    FLAME | frame_000556.jpg
  308 |   6.06 |        66.1 | flame    FLAME | frame_000557.jpg
  309 |   7.32 |        66.3 | flame    FLAME | frame_000558.jpg
  310 |   7.29 |        65.9 | flame    FLAME | frame_000559.jpg
  311 |   6.55 |        66.2 | flame    FLAME | frame_000560.jpg
  312 |   6.40 |        66.7 | flame    FLAME | frame_000561.jpg
  313 |   5.89 |        66.7 | flame    FLAME | frame_000562.jpg
  314 |   6.07 |        66.7 | flame    FLAME | frame_000563.jpg
  315 |   5.74 |        66.4 | flame    FLAME | frame_000564.jpg
  316 |   6.50 |        66.9 | flame    FLAME | frame_000565.jpg
  317 |   6.31 |        66.9 | flame    FLAME | frame_000566.jpg
  318 |   6.16 |        66.4 | flame    FLAME | frame_000567.jpg
  319 |   6.35 |        66.4 | flame    FLAME | frame_000568.jpg
  320 |   6.62 |        66.3 | flame    FLAME | frame_000569.jpg
  321 |   5.77 |        66.8 | flame    FLAME | frame_000570.jpg
  322 |   6.91 |        66.8 | flame    FLAME | frame_000571.jpg
  323 |   7.39 |        66.6 | flame    FLAME | frame_000572.jpg
  324 |   6.41 |        66.2 | flame    FLAME | frame_000573.jpg
  325 |   6.83 |        66.0 | flame    FLAME | frame_000574.jpg
  326 |   6.51 |        66.2 | flame    FLAME | frame_000575.jpg
  327 |   7.02 |        66.3 | flame    FLAME | frame_000576.jpg
  328 |   6.15 |        66.3 | flame    FLAME | frame_000577.jpg
  329 |   6.64 |        66.6 | flame    FLAME | frame_000578.jpg
  330 |   6.46 |        66.1 | flame    FLAME | frame_000579.jpg
  331 |   5.96 |        67.2 | flame    FLAME | frame_000580.jpg
  332 |   6.11 |        67.0 | flame    FLAME | frame_000581.jpg
  333 |   6.79 |        66.0 | flame    FLAME | frame_000582.jpg
  334 |   6.01 |        66.3 | flame    FLAME | frame_000583.jpg
  335 |   5.92 |        66.3 | flame    FLAME | frame_000584.jpg
  336 |   6.00 |        65.9 | flame    FLAME | frame_000585.jpg
  337 |   6.43 |        66.3 | flame    FLAME | frame_000586.jpg
  338 |   6.56 |        66.3 | flame    FLAME | frame_000587.jpg
  339 |   6.62 |        66.4 | flame    FLAME | frame_000588.jpg
  340 |   7.18 |        66.4 | flame    FLAME | frame_000589.jpg
  341 |   7.86 |        66.3 | flame    FLAME | frame_000590.jpg
  342 |   7.13 |        66.2 | flame    FLAME | frame_000591.jpg
  343 |   6.64 |        66.5 | flame    FLAME | frame_000592.jpg
  344 |   6.28 |        65.9 | flame    FLAME | frame_000593.jpg
  345 |   5.07 |        66.5 | flame    FLAME | frame_000594.jpg
  346 |   5.98 |        66.5 | flame    FLAME | frame_000595.jpg
  347 |   6.81 |        65.9 | flame    FLAME | frame_000596.jpg
  348 |   6.17 |        66.1 | flame    FLAME | frame_000597.jpg
  349 |   6.29 |        66.3 | flame    FLAME | frame_000598.jpg
  350 |   5.64 |        66.5 | flame    FLAME | frame_000599.jpg
  351 |   6.89 |        66.2 | flame    FLAME | frame_000600.jpg
  352 |   6.73 |        66.6 | flame    FLAME | frame_000601.jpg
  353 |   6.94 |        66.6 | flame    FLAME | frame_000602.jpg
  354 |   5.44 |        66.7 | flame    FLAME | frame_000603.jpg
  355 |   5.67 |        66.7 | flame    FLAME | frame_000604.jpg
  356 |   5.36 |        66.7 | flame    FLAME | frame_000605.jpg

============================================================
СВОДНАЯ СТАТИСТИКА:
Всего кадров: 357
С пламенем: 323
Без пламени: 30
Неопределенные: 4
Средний процент пламени: 5.87%
Средняя уверенность: 60.48%
Стандартное отклонение: 2.35%
